party_id,country_name_short_from_elections,country_name_from_elections,election_type,election_date,vote_share,seats,seats_total,party_name_short_from_elections,party_name_from_elections,party_name_english_from_elections,left_right_from_elections,country_id_from_elections,election_id,previous_parliament_election_id,previous_cabinet_id,vote_share_max,vote_share_median,vote_share_mean,country_name_short_from_parties,country_name_from_parties,party_name_short_from_parties,party_name_english_from_parties,party_name_from_parties,party_name_ascii,family_name_short,family_name,left_right_from_parties,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id_from_parties,family_id,election_year,election_decade,election_half_decade
1269,ISR,Israel,parliament,1984-07-23,2.2,3.0,120,Yahad,Yahad,Together,6.0,34,714,713.0,1114.0,2.2,2.2,2.2,ISR,Israel,Yahad,Together,Yahad,Yahad,lib,Liberal,6.0,6.7,3.6,,72414.0,,,,,,,,34.0,6.0,1984,1980,1980
390,ISR,Israel,parliament,1984-07-23,1.8,2.0,120,ReMiSh,HaReshima HaMitkademet LeShalom,Progressive List for Peace,1.2,34,714,713.0,1114.0,1.8,1.65,1.65,ISR,Israel,ReMiSh,Progressive List for Peace,HaReshima HaMitkademet LeShalom,HaReshima HaMitkademet LeShalom,com,Communist/Socialist,1.3,1.4,3.0,,72222.0,,,,,,,,34.0,14.0,1984,1980,1980
31,ISR,Israel,parliament,1984-07-23,1.6,2.0,120,Mo,Morasha,Heritage,,34,714,713.0,1114.0,1.6,1.6,1.6,ISR,Israel,Mo,Heritage,Morasha,Morasha,spec,Special issue,,,,,72534.0,,,,,,,,34.0,16.0,1984,1980,1980
1969,ISR,Israel,parliament,1984-07-23,1.2,1.0,120,Kach,Kach,Thus,8.7,34,714,713.0,1114.0,1.2,1.2,1.2,ISR,Israel,Kach,Thus,Kach,Kach,right,Right-wing,8.8,5.9,8.5,,,,,,,,,,34.0,40.0,1984,1980,1980
976,ISR,Israel,parliament,1988-11-01,2.0,2.0,120,Tzomet,Tzomet,Crossroads,8.7,34,715,714.0,1108.0,6.4,4.2,4.2,ISR,Israel,Tzomet,Crossroads,Tzomet,Tzomet,right,Right-wing,8.8,5.9,8.5,,72613.0,,,,,,,,34.0,40.0,1988,1980,1985
980,ISR,Israel,parliament,1988-11-01,1.9,2.0,120,M,Moledet,Homeland,7.4,34,715,714.0,1108.0,2.4,2.4,2.233333333333333,ISR,Israel,M,Homeland,Moledet,Moledet,con,Conservative,7.4,6.4,7.0,,72615.0,,,,,,,,34.0,26.0,1988,1980,1985
249,ISR,Israel,parliament,1988-11-01,1.5,2.0,120,DH,Degel HaTorah,Banner of the Torah,7.4,34,715,714.0,1108.0,1.5,1.5,1.5,ISR,Israel,DeTo,Banner of the Torah,Degel HaTorah,Degel HaTorah,con,Conservative,7.4,6.4,7.0,,72614.0,,,,,,,,34.0,26.0,1988,1980,1985
1150,ISR,Israel,parliament,1988-11-01,1.2,1.0,120,Mada,Miflaga Demokratit Aravit â€“ al-Hizb al-Dimuqrati al-Arabi,Arab Democratic Party,1.0526,34,715,714.0,1108.0,1.6,1.4,1.4,ISR,Israel,Mada,Arab Democratic Party,Miflaga Demokratit Aravit â€“ al-Hizb al-Dimuqrati al-Arabi,Miflaga Demokratit Aravit al-Hizb -- al-Dimuqrati al-Arabi,spec,Special issue,1.0526,2.5387,7.9257,,72901.0,,,,,,6539.0,,34.0,16.0,1988,1980,1985
1419,ISR,Israel,parliament,1992-06-23,9.6,12.0,120,Meretz,Meretz,Energy,1.7786,34,716,715.0,957.0,9.6,4.88,5.63625,ISR,Israel,Meretz,Energy,Meretz,Meretz,soc,Social democracy,1.7786,3.2632,0.6667,,72326.0,,,,,,6505.0,,34.0,11.0,1992,1990,1990
1303,ISR,Israel,parliament,1992-06-23,3.3,4.0,120,YH,Yahadut HaTora HaMeuhedet,United Torah Judaism,6.9396,34,716,715.0,957.0,5.16,4.345000000000001,4.2175,ISR,Israel,YaToMe,United Torah Judaism,Yahadut HaTora HaMeuhedet,Yahadut HaTora HaMeuhedet,con,Conservative,6.9396,2.8146,9.7556,,72535.0,,,,,,6589.0,,34.0,26.0,1992,1990,1990
277,ISR,Israel,parliament,1996-05-29,5.7,7.0,120,YBA,Yisrael Ba-Aliya,Israel for Immigration,6.0,34,717,716.0,960.0,5.7,5.1,4.316666666666667,ISR,Israel,YBA,Israel for Immigration,Yisrael Ba-Aliya,Yisrael Ba-Aliya,lib,Liberal,6.0,6.7,3.6,,72428.0,,,,,,,,34.0,6.0,1996,1990,1995
1862,ISR,Israel,parliament,1996-05-29,,5.0,120,Gesher,Gesher,Bridge,7.4,34,717,716.0,960.0,,,,ISR,Israel,Gesher,Bridge,Gesher,Gesher,con,Conservative,7.4,6.4,7.0,,,,,,,,,,34.0,26.0,1996,1990,1995
279,ISR,Israel,parliament,1996-05-29,3.2,4.0,120,DS,HaDerekh HaShlishit,The Third Way,6.0,34,717,716.0,960.0,3.2,3.2,3.2,ISR,Israel,DS,The Third Way,HaDerekh HaShlishit,HaDerekh HaShlishit,lib,Liberal,6.0,6.7,3.6,,72427.0,,,,,,,,34.0,6.0,1996,1990,1995
1846,ISR,Israel,parliament,1996-05-29,2.9,4.0,120,Raam,al-QÄ'ima al-'Arabiyya al-Muwaá¸¥á¸¥ada,United Arab List,,34,717,716.0,960.0,10.61,3.4,4.148571428571429,ISR,Israel,Raam,United Arab List,al-QÄ'ima al-'Arabiyya al-Muwaá¸¥á¸¥ada,al-Qa'ima al-'Arabiyya al-Muwahhada,spec,Special issue,,,,,,,,,,,,,34.0,16.0,1996,1990,1995
1863,ISR,Israel,parliament,1999-05-17,5.0,6.0,120,MiHa,Mifleget Hamerkaz,Centre Party,6.0,34,718,717.0,1159.0,5.0,5.0,5.0,ISR,Israel,MiHa,Centre Party,Mifleget Hamerkaz,Mifleget Hamerkaz,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34.0,6.0,1999,1990,1995
1816,ISR,Israel,parliament,1999-05-17,2.6,4.0,120,YB,Yisrael Beiteinu,Israel is Our Home,8.7,34,718,717.0,1159.0,11.7,7.05,7.1,ISR,Israel,YB,Israel is Our Home,Yisrael Beiteinu,Yisrael Beiteinu,right,Right-wing,8.8,5.9,8.5,,72625.0,,,,,,,,34.0,40.0,1999,1990,1995
1357,ISR,Israel,parliament,1999-05-17,3.0,3.0,120,HaLe,HaIhud HaLeumi,National Union,9.5906,34,718,717.0,1159.0,7.1,4.415,4.7325,ISR,Israel,HaLe-T,National Union--Tkuma,HaIhud HaLeumiâ€“Tkuma,HaIhud HaLeumi--Tkuma,right,Right-wing,9.5906,5.7895,8.1474,,72624.0,,,,,,6455.0,,34.0,40.0,1999,1990,1995
805,ISR,Israel,parliament,1999-05-17,1.9,2.0,120,Balad,Brit Le'umit Demokratit,National Democratic Assembly,0.7407,34,718,717.0,1159.0,2.56,2.3,2.3040000000000003,ISR,Israel,Balad,National Democratic Assembly,Brit Le'umit Demokratit,Brit Le'umit Demokratit,spec,Special issue,0.7407,2.4163,5.2322,,,,,,,,6423.0,,34.0,16.0,1999,1990,1995
615,ISR,Israel,parliament,1999-05-17,1.9,2.0,120,AE,Am Ehad,One Nation,2.9825,34,718,717.0,1159.0,2.76,2.33,2.33,ISR,Israel,AE,One Nation,Am Ehad,Am Ehad,soc,Social democracy,2.9825,1.7053,4.349,,72312.0,,,,,,6407.0,,34.0,11.0,1999,1990,1995
2361,ISR,Israel,parliament,1999-05-17,,1.0,120,HeNaMo,Herut â€“ HaTnu'a HaLeumit,Herut -- The National Movement,8.7,34,718,717.0,1159.0,,,,ISR,Israel,He-TnLe,Herut -- The National Movement,Herut â€“ HaTnu'a HaLeumit,Herut -- HaTnu'a HaLeumit,right,Right-wing,8.8,5.9,8.5,,,,,,,,,,34.0,40.0,1999,1990,1995
1870,ISR,Israel,parliament,2006-03-28,22.0,29.0,120,Kadima,Kadima,Forward,6.0,34,720,719.0,1129.0,22.5,22.0,15.526666666666666,ISR,Israel,Kadima,Forward,Kadima,Kadima,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34.0,6.0,2006,2000,2005
1873,ISR,Israel,parliament,2006-03-28,5.9,7.0,120,Gil,Gimla'ey Israel,Pensioners of Israel,,34,720,719.0,1129.0,5.9,5.9,5.9,ISR,Israel,Gil,Pensioners of Israel,Gimla'ey Israel,Gimla'ey Israel,spec,Special issue,,,,,,,,,,,,,34.0,16.0,2006,2000,2005
2321,ISR,Israel,parliament,2013-01-22,14.33,19.0,120,YA,Yesh Atid,There is a Future,6.0,34,815,721.0,1107.0,14.33,11.575,11.575,ISR,Israel,YA,There is a Future,Yesh Atid,Yesh Atid,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34.0,6.0,2013,2010,2010
2320,ISR,Israel,parliament,2013-01-22,4.99,6.0,120,Hat,Hatnuah,The Movement,6.0,34,815,721.0,1107.0,4.99,4.99,4.99,ISR,Israel,Hat,The Movement,Hatnuah,Hatnuah,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34.0,6.0,2013,2010,2010
2410,ISR,Israel,parliament,2015-03-17,7.49,10.0,120,Kulanu,Kulanu,All of Us,6.0,34,852,815.0,1155.0,7.49,7.49,7.49,ISR,Israel,Kulanu,All of Us,Kulanu,Kulanu,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34.0,6.0,2015,2010,2015
1633,ITA,Italy,parliament,1946-06-02,35.21,207.0,556,DC,Democrazia Cristiana,Christian Democrats,5.6611,26,503,,,48.5,38.5,38.0175,ITA,Italy,DC,Christian Democrats,Democrazia Cristiana,Democrazia Cristiana,chr,Christian democracy,5.6611,5.7,7.1,8.9667,32520.0,,,1008.0,2107.0,801.0,,,26.0,3.0,1946,1940,1945
1475,ITA,Italy,parliament,1946-06-02,20.68,115.0,556,PSI,Partito Socialista Italiano,Italian Socialist Party,3.7722,26,503,,,20.68,13.6,13.107272727272727,ITA,Italy,PSI,Italian Socialist Party,Partito Socialista Italiano,Partito Socialista Italiano,soc,Social democracy,3.7722,3.5,3.5,8.75,32320.0,,,1005.0,2104.0,804.0,,839.0,26.0,11.0,1946,1940,1945
1088,ITA,Italy,parliament,1946-06-02,18.93,104.0,556,PCI,Partito Comunista Italiano,Communist Party,1.6,26,503,,,34.4,26.9,26.902727272727272,ITA,Italy,PCI,Communist Party,Partito Comunista Italiano,Partito Comunista Italiano,com,Communist/Socialist,1.6,1.4,3.0,3.3,32220.0,,,1003.0,,,,841.0,26.0,14.0,1946,1940,1945
409,ITA,Italy,parliament,1946-06-02,5.27,30.0,556,FUQ,Fronte dell'Uomo Qualunque,Front of the Ordinary Man,7.4,26,503,,,5.27,5.27,5.27,ITA,Italy,FUQ,Front of the Ordinary Man,Fronte dell'Uomo Qualunque,Fronte dell'Uomo Qualunque,con,Conservative,7.4,6.4,7.0,7.9,,,,,,,,,26.0,26.0,1946,1940,1945
93,ITA,Italy,parliament,1946-06-02,4.36,23.0,556,PRI,Partito Repubblicano Italiano,Republican Party,4.9704,26,503,,,5.08,2.965,2.955,ITA,Italy,PRI,Republican Party,Partito Repubblicano Italiano,Partito Repubblicano Italiano,lib,Liberal,4.9704,5.8,5.1667,9.0278,32410.0,,,1006.0,2106.0,806.0,,806.0,26.0,6.0,1946,1940,1945
1050,ITA,Italy,parliament,1946-06-02,2.77,16.0,556,PNM,Partito Nazionale Monarchico,Monarchist National Party,8.7,26,503,,,6.9,2.785,3.6675000000000004,ITA,Italy,PNM,Monarchist National Party,Partito Nazionale Monarchico,Partito Nazionale Monarchico,right,Right-wing,8.8,5.9,8.5,2.3,,,,,,,,,26.0,40.0,1946,1940,1945
1330,ITA,Italy,parliament,1946-06-02,1.45,7.0,556,PAz,Partito d'Azione,Action Party,1.2,26,503,,,1.45,1.45,1.45,ITA,Italy,PAz,Action Party,Partito d'Azione,Partito d'Azione,com,Communist/Socialist,1.3,1.4,3.0,3.3,,,,,,,,,26.0,14.0,1946,1940,1945
1028,ITA,Italy,parliament,1946-06-02,0.74,4.0,556,MIS,Movimento Indipendentista Siciliano,Movement for the Independence of Sicily,,26,503,,,0.74,0.74,0.74,ITA,Italy,MIS,Movement for the Independence of Sicily,Movimento Indipendentista Siciliano,Movimento Indipendentista Siciliano,spec,Special issue,,,,,,,,,,,,,26.0,16.0,1946,1940,1945
335,ITA,Italy,parliament,1946-06-02,0.34,2.0,556,PSA,Partito Sardo d'Azione,Sardinian Action Party,4.2,26,503,,,0.44,0.29500000000000004,0.3175,ITA,Italy,PSA,Sardinian Action Party,Partito Sardo d'Azione,Partito Sardo d'Azione,soc,Social democracy,4.2,3.6667,6.25,7.0833,,,,,,,,824.0,26.0,11.0,1946,1940,1945
2044,ITA,Italy,parliament,1946-06-02,0.42,2.0,556,CDR,Concentrazione Democratica Repubblicana,Republican Democratic Concentration,6.0,26,503,,,0.42,0.42,0.42,ITA,Italy,CDR,Republican Democratic Concentration,Concentrazione Democratica Repubblicana,Concentrazione Democratica Repubblicana,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,26.0,6.0,1946,1940,1945
618,ITA,Italy,parliament,1946-06-02,0.44,1.0,556,PaCoI,Partito dei Contadini d'Italia,Agrarian Party,5.3,26,503,,,0.44,0.405,0.405,ITA,Italy,PaCoI,Agrarian Party,Partito dei Contadini d'Italia,Partito dei Contadini d'Italia,agr,Agrarian,5.3,4.9,6.5,5.4,,,,,,,,,26.0,2.0,1946,1940,1945
242,ITA,Italy,parliament,1948-04-18,7.07,33.0,574,PSDI,Partito Socialista Democratico Italiano,Italian Democratic Socialist Party,4.6206,26,467,503.0,501.0,7.07,4.295,4.436,ITA,Italy,PSDI,Italian Democratic Socialist Party,Partito Socialista Democratico Italiano,Partito Socialista Democratico Italiano,soc,Social democracy,4.6206,3.915,2.99,8.8222,32330.0,,,1007.0,2105.0,807.0,,807.0,26.0,11.0,1948,1940,1945
831,ITA,Italy,parliament,1948-04-18,2.01,6.0,574,MSI,Movimento Sociale Italiano,Italian Social Movement,9.1778,26,467,503.0,501.0,8.7,5.4,5.491818181818181,ITA,Italy,MSI,Italian Social Movement,Movimento Sociale Italiano,Movimento Sociale Italiano,right,Right-wing,9.1778,5.9,8.5,2.3,32710.0,,,1010.0,2110.0,,,,26.0,40.0,1948,1940,1945
1030,ITA,Italy,parliament,1948-04-18,0.47,3.0,574,SVP,SÃ¼dtiroler Volkspartei,South Tyrol Peoples Party,5.4,26,467,503.0,501.0,0.6,0.475,0.48687499999999995,ITA,Italy,SVP,South Tyrol Peoples Party,SÃ¼dtiroler Volkspartei,Suedtiroler Volkspartei,spec,Special issue,5.4,5.085,6.9,7.6083,,,,,,,,827.0,26.0,16.0,1948,1940,1945
487,ITA,Italy,parliament,1953-06-07,3.01,13.0,590,PLI,Partito Liberale Italiano,Italian Liberal Party,6.45,26,642,467.0,597.0,7.0,2.955,3.431,ITA,Italy,PLI,Italian Liberal Party,Partito Liberale Italiano,Partito Liberale Italiano,lib,Liberal,6.45,6.7,3.6,7.5,32420.0,,,1009.0,2108.0,810.0,,,26.0,6.0,1953,1950,1950
421,ITA,Italy,parliament,1958-05-25,2.6,14.0,596,PMP,Partito Monarchico Popolare,Popular Monarchist Party,7.4,26,507,642.0,280.0,2.6,2.6,2.6,ITA,Italy,PMP,Popular Monarchist Party,Partito Monarchico Popolare,Partito Monarchico Popolare,con,Conservative,7.4,6.4,7.0,7.9,,,,,,,,,26.0,26.0,1958,1950,1955
974,ITA,Italy,parliament,1958-05-25,0.1,1.0,596,UV,Union ValdÃ´taine,Valdotanian Union,,26,507,642.0,280.0,0.11,0.1,0.096,ITA,Italy,UV,Valdotanian Union,Union ValdÃ´taine,Union Valdotaine,spec,Special issue,,,,,,,,,,,,,26.0,16.0,1958,1950,1955
1702,ITA,Italy,parliament,1963-04-28,1.8,8.0,630,PDIUM,Partito Democratico Italiano di UnitÃ  Monarchica,Italian Democratic Party of Monarchist Unity,7.4,26,380,507.0,347.0,1.8,1.55,1.55,ITA,Italy,PDIUM,Italian Democratic Party of Monarchist Unity,Partito Democratico Italiano di UnitÃ  Monarchica,Partito Democratico Italiano di Unita Monarchica,con,Conservative,7.4,6.4,7.0,7.9,,,,,,,,,26.0,26.0,1963,1960,1960
1593,ITA,Italy,parliament,1968-05-19,4.5,23.0,630,PSIUP,Partito Socialista di UnitÃ  Proletaria,Socialist Party of Proletarian Unity,1.2,26,261,380.0,433.0,4.5,4.5,4.5,ITA,Italy,PSIUP,Socialist Party of Proletarian Unity,Partito Socialista di UnitÃ  Proletaria,Partito Socialista di Unita Proletaria,com,Communist/Socialist,1.3,1.4,3.0,3.3,,,,,,,,,26.0,14.0,1968,1960,1965
1424,ITA,Italy,parliament,1976-06-20,1.5,6.0,630,DP,Democrazia Proletaria,Proletarian Democracy,0.5,26,502,65.0,842.0,1.7,1.5,1.5666666666666667,ITA,Italy,DP,Proletarian Democracy,Democrazia Proletaria,Democrazia Proletaria,com,Communist/Socialist,0.5,1.4,3.0,10.0,32211.0,,,1001.0,,817.0,,,26.0,14.0,1976,1970,1975
1296,ITA,Italy,parliament,1976-06-20,1.07,4.0,630,R,Radicali,Radicals,3.9732,26,502,65.0,842.0,3.5,2.365,2.183333333333333,ITA,Italy,R,Radicals,Radicali,Radicali,soc,Social democracy,3.9732,7.0784,0.3338,8.2722,32310.0,,,1004.0,,814.0,6786.0,813.0,26.0,11.0,1976,1970,1975
825,ITA,Italy,parliament,1976-06-20,0.07,1.0,630,etc,diversi,others,,26,502,65.0,842.0,0.07,0.07,0.07,ITA,Italy,etc,others,diversi,diversi,none,no family,,,,,,,,,,,,,26.0,12.0,1976,1970,1975
968,ITA,Italy,parliament,1979-06-03,1.4,6.0,630,PdUP,Partito di UnitÃ  Proletaria,Proletarian Unity Party,1.3833,26,604,502.0,638.0,1.4,1.4,1.4,ITA,Italy,PdUP,Proletarian Unity Party,Partito di UnitÃ  Proletaria,Partito di Unita Proletaria,com,Communist/Socialist,1.3833,1.0,3.0,5.8333,32210.0,,,1002.0,,,,822.0,26.0,14.0,1979,1970,1975
55,ITA,Italy,parliament,1979-06-03,0.18,1.0,630,LT,Lista per Trieste,List for Trieste,3.3,26,604,502.0,638.0,0.18,0.18,0.18,ITA,Italy,LT,List for Trieste,Lista per Trieste,Lista per Trieste,soc,Social democracy,3.3,3.5,3.5,8.1,,,,,,,,,26.0,11.0,1979,1970,1975
1080,ITA,Italy,parliament,1983-06-26,0.34,1.0,630,LV,Liga Veneta,Venetian League,,26,617,604.0,87.0,0.39,0.365,0.365,ITA,Italy,LV,Venetian League,Liga Veneta,Liga Veneta,spec,Special issue,,,,,,,,,,,,,26.0,16.0,1983,1980,1980
1304,ITA,Italy,parliament,1987-06-14,2.5,13.0,630,FdLV,Federazione delle Liste Verdi,Green Lists,1.7778,26,17,617.0,737.0,2.5,2.5,2.5,ITA,Italy,FdLV,Green Lists,Federazione delle Liste Verdi,Federazione delle Liste Verdi,eco,Green/Ecologist,1.7778,2.5,1.8,6.5,32110.0,,,,2103.0,,,,26.0,19.0,1987,1980,1985
1560,ITA,Italy,parliament,1987-06-14,0.48,1.0,630,LL,Liga Lombarda,Lombard League,,26,17,617.0,737.0,0.48,0.48,0.48,ITA,Italy,LL,Lombard League,Liga Lombarda,Liga Lombarda,spec,Special issue,,,,,,,,,,,,,26.0,16.0,1987,1980,1985
809,ITA,Italy,parliament,1992-04-05,16.1,107.0,630,DS,Democratici di Sinistra,Democrats of the Left,2.6277,26,605,17.0,202.0,16.1,16.1,16.1,ITA,Italy,DS,Democrats of the Left,Democratici di Sinistra,Democratici di Sinistra,soc,Social democracy,2.6277,3.1839,2.5869,9.068999999999999,32220.0,,,,2102.0,802.0,6626.0,802.0,26.0,11.0,1992,1990,1990
1436,ITA,Italy,parliament,1992-04-05,8.7,55.0,630,LN,Lega Nord,North League,7.8007,26,605,17.0,202.0,10.07,8.29,7.13,ITA,Italy,LN,North League,Lega Nord,Lega Nord,right,Right-wing,7.8007,7.9138,7.9003,3.2088,32720.0,178.0,1380720.0,,2109.0,812.0,6706.0,811.0,26.0,40.0,1992,1990,1990
1321,ITA,Italy,parliament,1992-04-05,5.6,35.0,630,PRC,Partito della Rifondazione Comunista,Communist Refoundation Party,0.8849,26,605,17.0,202.0,8.57,5.645,6.2225,ITA,Italy,PRC,Communist Refoundation Party,Partito della Rifondazione Comunista,Partito della Rifondazione Comunista,com,Communist/Socialist,0.8849,0.6622,1.9878,3.5439,32212.0,181.0,1380212.0,,2101.0,803.0,6806.0,803.0,26.0,14.0,1992,1990,1990
910,ITA,Italy,parliament,1992-04-05,2.8,16.0,630,FdV,Federazione dei Verdi,Federation of the Greens,2.3725,26,605,17.0,202.0,2.8,2.4,2.4,ITA,Italy,FdV,Federation of the Greens,Federazione dei Verdi,Federazione dei Verdi,eco,Green/Ecologist,2.3725,2.9566,1.0675,7.4499,32110.0,,,,2103.0,808.0,6666.0,808.0,26.0,19.0,1992,1990,1990
366,ITA,Italy,parliament,1992-04-05,1.9,12.0,630,Rete,Movimento per la Democrazia â€“ La Rete,Movement for Democracy -- The Net,6.2,26,605,17.0,202.0,1.9,1.9,1.9,ITA,Italy,Rete,Movement for Democracy -- The Net,Movimento per la Democrazia â€“ La Rete,Movimento per la Democrazia -- La Rete,chr,Christian democracy,6.2,5.7,7.1,6.6667,32951.0,,,,,813.0,,,26.0,3.0,1992,1990,1990
473,ITA,Italy,parliament,1992-04-05,0.39,1.0,630,Fed,Federalismo â€“ Europa dei Popoli,Federalism,,26,605,17.0,202.0,0.39,0.39,0.39,ITA,Italy,Fed,Federalism,Federalismo â€“ Europa dei Popoli,Federalismo -- Europa dei Popoli,spec,Special issue,,,,,,,,,,,,,26.0,16.0,1992,1990,1990
373,ITA,Italy,parliament,1994-03-27,,109.0,630,AN,Alleanza Nazionale,National Alliance,8.0871,26,146,605.0,801.0,12.01,12.01,12.01,ITA,Italy,AN,National Alliance,Alleanza Nazionale,Alleanza Nazionale,con,Conservative,8.0871,4.9559,8.8366,4.3389,32710.0,,,,,805.0,6606.0,805.0,26.0,26.0,1994,1990,1990
596,ITA,Italy,parliament,1994-03-27,,99.0,630,FI-PdL,Forza Italia â€“ Il Popolo della LibertÃ ,Go Italy -- The People of Freedom,7.1459,26,146,605.0,801.0,38.21,23.6,27.790000000000003,ITA,Italy,FI-PdL,Go Italy -- The People of Freedom,Forza Italia â€“ Il Popolo della LibertÃ ,Forza Italia -- Il Popolo della Liberta,con,Conservative,7.1459,7.912999999999999,6.5983,5.0946,32610.0,186.0,1380630.0,,,816.0,6646.0,815.0,26.0,26.0,1994,1990,1990
142,ITA,Italy,parliament,1994-03-27,15.7,46.0,630,PPI,Partito Popolare Italiano,Italian People's Party,4.6267,26,146,605.0,801.0,15.7,15.7,15.7,ITA,Italy,PPI,Italian People's Party,Partito Popolare Italiano,Partito Popolare Italiano,chr,Christian democracy,4.6267,4.105,5.8567,9.0778,32520.0,,,,,801.0,,823.0,26.0,3.0,1994,1990,1990
99,ITA,Italy,parliament,1994-03-27,,29.0,630,CCD,Centro Cristiano Democratico,Christian Democratic Centre,5.9067,26,146,605.0,801.0,,,,ITA,Italy,CCD,Christian Democratic Centre,Centro Cristiano Democratico,Centro Cristiano Democratico,chr,Christian democracy,5.9067,5.1167,7.5833,8.5,32521.0,,,,,815.0,,814.0,26.0,3.0,1994,1990,1990
896,ITA,Italy,parliament,1994-03-27,,18.0,630,AD,Alleanza Democratica,Democratic Alliance,5.0,26,146,605.0,801.0,,,,ITA,Italy,AD,Democratic Alliance,Alleanza Democratica,Alleanza Democratica,chr,Christian democracy,5.0,5.0,5.0,6.6667,32529.0,,,,,,,817.0,26.0,3.0,1994,1990,1990
1431,ITA,Italy,parliament,1994-03-27,,5.0,630,CS,Cristiano Sociali,Social Christians,6.2,26,146,605.0,801.0,,,,ITA,Italy,CS,Social Christians,Cristiano Sociali,Cristiano Sociali,chr,Christian democracy,6.2,5.7,7.1,8.3,,,,,,,,,26.0,3.0,1994,1990,1990
397,ITA,Italy,parliament,1994-03-27,,4.0,630,UdCe,Unione Democratica di Centro,Democratic Union of the Centre,6.0,26,146,605.0,801.0,,,,ITA,Italy,UdCe,Democratic Union of the Centre,Unione Democratica di Centro,Unione Democratica di Centro,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,26.0,6.0,1994,1990,1990
671,ITA,Italy,parliament,1994-03-27,,2.0,630,PLD,Polo Liberal-Democratico,Liberal Democratic Pole,6.0,26,146,605.0,801.0,,,,ITA,Italy,PLD,Liberal Democratic Pole,Polo Liberal-Democratico,Polo Liberal-Democratico,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,26.0,6.0,1994,1990,1990
436,ITA,Italy,parliament,1994-03-27,0.2,1.0,630,LAM,Lega d'Azione Meridionale,Southern Action League,8.7,26,146,605.0,801.0,0.22,0.21000000000000002,0.21000000000000002,ITA,Italy,LAM,Southern Action League,Lega d'Azione Meridionale,Lega d'Azione Meridionale,right,Right-wing,8.8,5.9,8.5,2.3,,,,,,,,,26.0,40.0,1994,1990,1990
840,ITA,Italy,parliament,1996-04-21,,75.0,630,PpP,Popolari per Prodi,Popular Party for Prodi,6.2,26,551,146.0,991.0,,,,ITA,Italy,PpP,Popular Party for Prodi,Popolari per Prodi,Popolari per Prodi,chr,Christian democracy,6.2,5.7,7.1,8.3,,,,,,,,,26.0,3.0,1996,1990,1995
627,ITA,Italy,parliament,1996-04-21,,30.0,630,CCD+CDU,Centro Cristiano Democratico  / Cristiani Democratici Uniti,Christian Democratic Centre / United Christian Democrats,5.9067,26,551,146.0,991.0,,,,ITA,Italy,CCD+CDU,Christian Democratic Centre / United Christian Democrats,Centro Cristiano Democratico  / Cristiani Democratici Uniti,Centro Cristiano Democratico  / Cristiani Democratici Uniti,chr,Christian democracy,5.9067,5.1167,7.5833,8.5,32522.0,,,,,815.0,,814.0,26.0,3.0,1996,1990,1995
1005,ITA,Italy,parliament,2001-05-13,,80.0,609,DL-M,Democrazia Ã¨ LibertÃ  â€“ La Margherita,Democracy is Freedom -- The Daisy,3.9893,26,498,551.0,239.0,,,,ITA,Italy,DL-M,Democracy is Freedom -- The Daisy,Democrazia Ã¨ LibertÃ  â€“ La Margherita,Democrazia e Liberta -- La Margherita,lib,Liberal,3.9893,4.2347,4.7353,9.2935,32421.0,,,,,,6746.0,819.0,26.0,6.0,2001,2000,2000
1661,ITA,Italy,parliament,2001-05-13,,9.0,609,PdCI,Partito dei Comunisti Italiani,Party of the Italian Communists,1.0423,26,498,551.0,239.0,2.25,2.25,2.25,ITA,Italy,PdCI,Party of the Italian Communists,Partito dei Comunisti Italiani,Partito dei Comunisti Italiani,com,Communist/Socialist,1.0423,0.9046,1.2704,4.5086,32213.0,,,,,,6766.0,836.0,26.0,14.0,2001,2000,2000
1287,ITA,Italy,parliament,2001-05-13,,3.0,609,NPSI,Nuovo Partito Socialisti Italiani,New PSI,5.43,26,498,551.0,239.0,,,,ITA,Italy,NPSI,New PSI,Nuovo Partito Socialisti Italiani,Nuovo Partito Socialisti Italiani,soc,Social democracy,5.43,5.67,3.57,7.2167,32611.0,,,,,,,835.0,26.0,11.0,2001,2000,2000
1048,ITA,Italy,parliament,2006-04-09,30.43,220.0,630,CeS,Centro-sinistra,Centre Left,3.3,26,107,498.0,567.0,30.43,30.43,30.43,ITA,Italy,CeS,Centre Left,Centro-sinistra,Centro-sinistra,soc,Social democracy,3.3,3.5,3.5,8.1,32329.0,,,,,,,837.0,26.0,11.0,2006,2000,2005
